ABBR	A short name of a title, description, or name.
ADDR	The contemporary place, usually required for postal purposes, of an individual, a submitter of information, a repository, a business, a school, or a company.
ADR1	The first line of an address.
ADR2	The second line of an address.
ADOP	Pertaining to creation of a legally approved child-parent relationship that does not exist biologically.
AFN	A unique permanent record file number of an individual record stored in Ancestral File.
AGE	The age of the individual at the time an event occurred, or the age listed in the document.
AGNC	The institution or individual having authority and/or responsibility to manage or govern.
ALIA	An indicator to link different record descriptions of a person who may be the same person.
ANCE	Pertaining to forbearers of an individual.
ANCI	Indicates an interest in additional research for ancestors of this individual.
ANUL	Declaring a marriage void from the beginning (never existed).
ASSO	An indicator to link friends, neighbors, relatives, or associates of an individual.
AUTH	The name of the individual who created or compiled information.
BAPL	The event of baptism performed at age eight or later by priesthood authority of the LDS Church.
BAPM	The event of baptism (not LDS), performed in infancy or later.
BARM	The ceremonial event held when a Jewish boy reaches age 13.
BASM	The ceremonial event held when a Jewish girl reaches age 12, also known as "Bat Mitzvah."
BIRT	The event of entering into life.
BLES	A religious event of bestowing divine care or intercession.
BURI	The event of the proper disposing of the mortal remains of a deceased person.
CALN	The number used by a repository to identify the specific items in its collections.
CAST	The name of an individual's rank or status in society which is sometimes based on racial or religious differences, or differences in wealth, inherited rank, profession, occupation, etc.
CAUS	A description of the cause of the associated event or fact, such as the cause of death.
CENS	The event of the periodic count of the population for a designated locality, such as a national or state Census.
CHAN	Indicates a change, correction, or modification.
CHAR	An indicator of the character set used in writing this automated information.
CHIL	The natural, adopted, or sealed (LDS) child of a father and a mother.
CHR	The religious event (not LDS) of baptizing and/or naming a child.
CHRA	The religious event (not LDS) of baptizing and/or naming an adult person.
CITY	A lower level jurisdictional unit.
CONC	An indicator that additional data belongs to the superior value, connected without a space or new line.
CONF	The religious event (not LDS) of conferring the gift of the Holy Ghost and, among protestants, full church membership.
CONL	The religious event by which a person receives membership in the LDS Church.
CONT	An indicator that additional data belongs to the superior value, connected with a carriage return and/or new line.
COPR	A statement that accompanies data to protect it from unlawful duplication and distribution.
CORP	A name of an institution, agency, corporation, or company.
CREM	Disposal of the remains of a person's body by fire.
CTRY	The name or code of the country.
DATA	Pertaining to stored automated information.
DATE	The time of an event in a calendar format.
DEAT	The event when mortal life terminates.
DESC	Pertaining to offspring of an individual.
DESI	Indicates an interest in research to identify additional descendants of this individual.
DEST	A system receiving data.
DIV	An event of dissolving a marriage through civil action.
DIVF	An event of filing for a divorce by a spouse.
DSCR	The physical characteristics of a person, place, or thing.
EDUC	Indicator of a level of education attained.
EMAI	An electronic mail address.
EMIG	An event of leaving one's homeland with the intent of residing elsewhere.
ENDL	A religious event where an endowment ordinance for an individual was performed by priesthood authority in an LDS temple.
ENGA	An event of recording or announcing an agreement between two people to become married.
EVEN	Pertaining to a noteworthy happening related to an individual, a group, or an organization.
FACT	Pertaining to a noteworthy attribute or fact concerning an individual, a group, or an organization.
FAM	Identifies a legal, common law, or other customary relationship of man and woman and their children, if any, or a family created by virtue of the birth of a child to its biological father and mother.
FAMC	Identifies the family in which an individual appears as a child.
FAMF	Pertaining to, or the name of, a family file.
FAMS	Identifies the family in which an individual appears as a spouse.
FAX	Electronic facimilie transmission.
FCOM	A religious rite, the first act of sharing in the Lord's supper as part of church worship.
FILE	An information storage place that is ordered and arranged for preservation and reference.
FONE	A phonetic variation of a superior text string.
FORM	An assigned name given to a consistent format in which information can be conveyed.
GEDC	Information about the use of GEDCOM in a transmission.
GIVN	A given or earned name used for official identification of a person.
GRAD	An event of awarding educational diplomas or degrees to individuals.
HEAD	Identifies information pertaining to an entire GEDCOM transmission.
HUSB	An individual in the family role of a married man or father.
IDNO	A number assigned to identify a person within some significant external system.
IMMI	An event of entering into a new locality with the intent of residing there.
INDI	A person.
LANG	The name of the language used in a communication or transmission of information.
LATI	A value indicating a coordinate position on a line, plane, or space.
LONG	A value indicating a coordinate position on a line, plane, or space.
MAP	Pertains to a representation of measurements usually presented in a graphical form.
MARB	An event of an official public notice given that two people intend to marry.
MARC	An event of recording a formal agreement of marriage, including the prenuptial agreement in which marriage partners reach agreement about the property rights of one or both, securing property to their children.
MARL	An event of obtaining a legal license to marry.
MARR	A legal, common-law, or customary event of creating a family unit of a man and a woman as husband and wife.
MARS	An event of creating an agreement between two people contemplating marriage, at which time they agree to release or modify property rights that would otherwise arise from the marriage.
MEDI	Identifies information about the media or having to do with the medium in which information is stored.
NAME	A word or combination of words used to help identify an individual, title, or other item.
NATI	The national heritage of an individual.
NATU	The event of obtaining citizenship.
NCHI	The number of children that this person is known to be the parent of (all marriages) when subordinate to an individual, or that belong to this family when subordinate to a FAM_RECORD.
NICK	A descriptive or familiar name that is used instead of, or in addition to, one's proper name.
NMR	The number of times this person has participated in a family as a spouse or parent.
NOTE	Additional information provided by the submitter for understanding the enclosing data.
NPFX	Text which appears on a name line before the given and surname parts of a name.
NSFX	Text which appears on a name line after or behind the given and surname parts of a name.
OBJE	Pertaining to a grouping of attributes used in describing something.
OCCU	The type of work or profession of an individual.
ORDI	Pertaining to a religious ordinance in general.
ORDN	A religious event of receiving authority to act in religious matters.
PAGE	A number or description to identify where information can be found in a referenced work.
PEDI	Information pertaining to an individual to parent lineage chart.
PHON	A unique number assigned to access a specific telephone.
PLAC	A jurisdictional name to identify the place or location of an event.
POST	A code used by a postal service to identify an area to facilitate mail handling.
PROB	An event of judicial determination of the validity of a will.
PROP	Pertaining to possessions such as real estate or other property of interest.
PUBL	Refers to when and/or where a work was published or created.
QUAY	An assessment of the certainty of the evidence to support the conclusion drawn from evidence.
REFN	A description or number used to identify an item for filing, storage, or other reference purposes.
RELA	A relationship value between the indicated contexts.
RELI	A religious denomination to which a person is affiliated or for which a record applies.
REPO	An institution or person that has the specified item as part of their collection(s).
RESI	An address or place of residence that a family or individual resided.
RESN	A processing indicator signifying access to information has been denied or otherwise restricted.
RETI	An event of exiting an occupational relationship with an employer after a qualifying time period.
RFN	A permanent number assigned to a record that uniquely identifies it within a known file.
RIN	A number assigned to a record by an originating automated system that can be used by a receiving system to report results pertaining to that record.
ROLE	A name given to a role played by an individual in connection with an event.
ROMN	A romanized variation of a superior text string.
SEX	Indicates the sex of an individual--male or female.
SLGC	A religious event pertaining to the sealing of a child to his or her parents in an LDS temple ceremony.
SLGS	A religious event pertaining to the sealing of a husband and wife in an LDS temple ceremony.
SOUR	The initial or original material from which information was obtained.
SPFX	A name piece used as a non-indexing pre-part of a surname.
SSN	A number assigned by the United States Social Security Administration.
STAE	A geographical division of a larger jurisdictional area, such as a State within the United States of America.
STAT	An assessment of the state or condition of something.
SUBM	An individual or organization who contributes genealogical data to a file or transfers it to someone else.
SUBN	Pertains to a collection of data issued for processing.
SURN	A family name passed on or used by members of a family.
TEMP	The name or code that represents the name of an LDS Church Temple.
TEXT	The exact wording found in an original source document.
TIME	A time value in a 24-hour clock format, including hours, minutes, and optional seconds, separated by a colon (:).
TITL	A description of a specific writing or other work, such as the title of a book when used in a source context, or a formal designation used by an individual in connection with positions of royalty or other social status, such as Grand Duke.
TRLR	At level 0, specifies the end of a GEDCOM transmission.
TYPE	A further qualification to the meaning of the associated superior tag.
VERS	Indicates which version of a product, item, or publication is being used or referenced.
WIFE	An individual in the role as a mother and/or married woman.
WILL	A legal document treated as an event, by which a person disposes of his or her estate, to take effect after death.
WWW	World Wide Web home page.
